Size, Time 
2 ,0.090112
4 ,0.070656 
8 ,0.07168
16 ,0.088064
32 ,0.070656
64 ,0.06656
128 ,0.07168
256 ,0.064512
512 ,0.098304
1024 ,0.073728
2048 ,0.105472
4096 ,0.06656
8192 ,0.068608
16384 ,0.070688
32768 ,0.079872
65536 ,0.072704
131072 ,0.260096
262144 ,0.26112
524288 ,0.256
1048576 ,0.300032
2 ,0.07168
4 ,0.070688
8 ,0.070656
16 ,0.07168
32 ,0.064512
64 ,0.06656
128 ,0.068608
256 ,0.07168
512 ,0.080896
1024 ,0.104448
2048 ,0.072704
4096 ,0.065536
8192 ,0.064512
16384 ,0.068608
32768 ,0.06656
65536 ,0.074752
131072 ,0.259072
262144 ,0.251904
524288 ,0.311296
1048576 ,0.279552
2 ,0.075776
4 ,0.072704
8 ,0.064512
16 ,0.07168
32 ,0.069664
64 ,0.073728
128 ,0.068608
256 ,0.069632
512 ,0.07472
1024 ,0.069632
2048 ,0.075776
4096 ,0.070656
8192 ,0.069632
16384 ,0.072704
32768 ,0.07168
65536 ,0.073728
131072 ,0.26112
262144 ,0.263168
524288 ,0.289792
1048576 ,0.275456
2 ,0.074752
4 ,0.068608
8 ,0.067584
16 ,0.075776
32 ,0.070656
64 ,0.08192
128 ,0.070656
256 ,0.067584
512 ,0.070656
1024 ,0.070656
2048 ,0.075776
4096 ,0.069632
8192 ,0.069664
16384 ,0.074752
32768 ,0.083968
65536 ,0.078848
131072 ,0.280576
262144 ,0.285696
524288 ,0.263168
1048576 ,0.283648
2 ,0.07168
4 ,0.069632
8 ,0.069632
16 ,0.072704
32 ,0.072704
64 ,0.0696
128 ,0.070656
256 ,0.080896
512 ,0.069632
1024 ,0.07168
2048 ,0.07168
4096 ,0.072736
8192 ,0.07168
16384 ,0.07168
32768 ,0.074752
65536 ,0.07168
131072 ,0.253952
262144 ,0.252928
524288 ,0.257024
1048576 ,0.308224
2 ,0.070656
4 ,0.064512
8 ,0.104384
16 ,0.073728
32 ,0.07168
64 ,0.070656
128 ,0.064512
256 ,0.065536
512 ,0.068608
1024 ,0.06656
2048 ,0.079872
4096 ,0.067584
8192 ,0.065504
16384 ,0.06656
32768 ,0.072704
65536 ,0.072704
131072 ,0.252928
262144 ,0.270304
524288 ,0.26624
1048576 ,0.282624
2 ,0.070656
4 ,0.065536
8 ,0.069632
16 ,0.070656
32 ,0.073728
64 ,0.07168
128 ,0.068608
256 ,0.069664
512 ,0.069632
1024 ,0.07168
2048 ,0.075776
4096 ,0.068576
8192 ,0.069632
16384 ,0.06656
32768 ,0.07168
65536 ,0.075776
