Size, Time
2,0.186368
2,0.164864
4,0.1536
8,0.178176
16,0.151552
32,0.165888
2,0.110592
4,0.150528
8,0.149504
16,0.15872
32,0.129024
2,0.15872
4,0.130048
8,0.125952
16,0.152576
32,0.154624
2,0.128
4,0.160768
8,0.151552
16,0.167936
32,0.149504
2,0.123904
4,0.150528
8,0.163808
16,0.15872
32,0.126976
2,0.15568
4,0.131072
8,0.14336
16,0.135168
32,0.1536
2,0.165888
4,0.132096
8,0.146432
16,0.145408
32,0.169984
2,0.123904
4,0.147456
8,0.150528
16,0.129024
32,0.154624
2,0.15056
4,0.126976
8,0.172032
16,0.13824
32,0.14848
2,0.177152
4,0.123904
8,0.173056
16,0.129024
32,0.146432
2,0.181248
4,0.129024
8,0.129024
16,0.130048
32,0.14336
2,0.146464
4,0.152576
8,0.132096
16,0.128
32,0.147456
2,0.146432
4,0.148544
8,0.1536
16,0.160768
32,0.12592
2,0.14848
4,0.12288
8,0.121856
16,0.128
32,0.160768
2,0.168928
4,0.126976
8,0.124928
16,0.128032
32,0.152576
2,0.13312
4,0.140288
8,0.131072
16,0.126976
32,0.167936
2,0.132096
4,0.150528
8,0.155648
16,0.157696
32,0.150528
2,0.139264
4,0.124928
8,0.149504
16,0.129024
32,0.124928
2,0.147456
4,0.146432
8,0.139264
16,0.155648
32,0.150592
2,0.150528
4,0.134144
8,0.171072
16,0.136192
32,0.110592
2,0.157696
2,0.214976
Running,Cuda,Prefix,Sum,with,float
2,0.155648
2,0.154624
4,0.132096
8,0.125952
16,0.148448
32,0.154624
64,0.14848
128,0.172032
256,0.12896
512,0.125952
1024,0.115712
2048,0.13312
4096,0.105472
8192,0.09728
16384,0.182272
32768,0.087872
65536,0.081632
131072,0.06016
262144,0.139968
524288,0.144288
1048576,0.15264
2097152,0.158368
4194304,0.204192
8388608,0.331232
16777216,0.480416
33554432,0.846336
67108864,1.50989
2,0.106496
4,0.139232
8,0.149472
16,0.128
32,0.15152
64,0.105472
128,0.142336
256,0.15056
512,0.140288
1024,0.044032
2048,0.118784
4096,0.191488
8192,0.185344
16384,0.096256
32768,0.091328
65536,0.31904
131072,0.1448
262144,0.135904
524288,0.137056
1048576,0.161344
2097152,0.148448
4194304,0.20992
8388608,0.31952
16777216,0.47792
33554432,0.81488
67108864,1.50416
2,0.128
4,0.134144
8,0.126976
16,0.14336
32,0.125984
64,0.161792
128,0.128
256,0.123904
512,0.151552
1024,0.096256
2048,0.132096
4096,0.094208
8192,0.108544
16384,0.090176
32768,0.184064
65536,0.090208
131072,0.163104
262144,0.127488
524288,0.142688
1048576,0.156512
2097152,0.177152
4194304,0.216576
8388608,0.310496
16777216,0.519808
33554432,0.820832
67108864,1.55053
2,0.04608
4,0.177152
8,0.126016
16,0.121856
32,0.175104
64,0.121856
128,0.173056
256,0.173056
512,0.128
1024,0.109568
2048,0.129024
4096,0.101376
8192,0.42496
16384,0.120832
32768,0.117248
65536,0.082464
131072,0.146784
262144,0.12464
524288,0.137952
1048576,0.160896
2097152,0.161184
4194304,0.207296
8388608,0.30992
16777216,0.480576
33554432,0.835712
67108864,1.50928
2,0.130048
4,0.125952
8,0.132096
16,0.156672
32,0.152576
64,0.156672
128,0.144384
256,0.152576
512,0.145408
1024,0.181248
2048,0.096256
4096,0.113664
8192,0.367616
16384,0.12288
32768,0.182624
65536,0.08192
131072,0.162336
262144,0.129792
524288,0.143712
1048576,0.15072
2097152,0.155712
4194304,0.205184
8388608,0.315136
16777216,0.477248
33554432,0.824064
67108864,1.50013
2,0.150464
4,0.134144
8,0.134144
16,0.156672
32,0.144384
64,0.144384
128,0.124928
256,0.152576
512,0.152576
1024,0.113664
2048,0.109568
4096,0.182272
8192,0.109568
16384,0.100352
32768,0.087904
65536,0.08016
131072,0.072864
262144,0.140128
524288,0.14432
1048576,0.1512
2097152,0.168128
4194304,0.210272
8388608,0.325504
16777216,0.48608
33554432,0.8216
67108864,1.53638
2,0.130048
4,0.120832
8,0.17408
16,0.147456
32,0.128
64,0.152576
128,0.151616
256,0.157696
512,0.130048
1024,0.135168
2048,0.11264
4096,0.116736
8192,0.221184
16384,0.043008
32768,0.19648
65536,0.08224
131072,0.180736
262144,0.124064
524288,0.141984
1048576,0.149312
2097152,0.166144
4194304,0.211296
8388608,0.32288
16777216,0.483328
33554432,0.834112
67108864,1.52432
2,0.134144
4,0.137184
8,0.151552
16,0.142336
32,0.146432
64,0.17504
128,0.149504
256,0.154624
512,0.142336
1024,0.30208
2048,0.11264
4096,0.114688
8192,0.108544
16384,0.096256
32768,0.152064
65536,0.153152
131072,0.162496
262144,0.1288
524288,0.14032
1048576,0.156448
2097152,0.162688
4194304,0.202144
8388608,0.310752
16777216,0.487968
33554432,0.817632
67108864,1.50858
2,0.116736
4,0.130112
8,0.123904
16,0.125984
32,0.149504
64,0.152576
128,0.149504
256,0.123904
512,0.145408
1024,0.108544
2048,0.366592
4096,0.11776
8192,0.104448
16384,0.09216
32768,0.09856
65536,0.202144
131072,0.14528
262144,0.12976
524288,0.153408
1048576,0.149408
2097152,0.169216
4194304,0.221984
8388608,0.307744
16777216,0.507168
