Size, Time 
2 ,0.069632
4 ,0.062528
8 ,0.068608
16 ,0.064512
32 ,0.09216
64 ,0.064512
128 ,0.06656
256 ,0.074752
512 ,0.074752
1024 ,0.067584
2048 ,0.069632
4096 ,0.070656
8192 ,0.070656
16384 ,0.067584
32768 ,0.1024
65536 ,0.07168
131072 ,0.06656
262144 ,0.25088
524288 ,0.247808
1048576 ,0.259072
2 ,0.069632
4 ,0.064448
8 ,0.068608
16 ,0.063488
32 ,0.099328
64 ,0.068608
128 ,0.068608
256 ,0.065536
512 ,0.101376
1024 ,0.069632
2048 ,0.067584
4096 ,0.07168
8192 ,0.062464
16384 ,0.068608
32768 ,0.068608
65536 ,0.070656
131072 ,0.072704
262144 ,0.297984
524288 ,0.249856
1048576 ,0.272384
2 ,0.070656
4 ,0.063488
8 ,0.072704
16 ,0.070656
32 ,0.067584
64 ,0.069568
128 ,0.067584
256 ,0.06144
512 ,0.06144
1024 ,0.067584
2048 ,0.067584
4096 ,0.071616
8192 ,0.067584
16384 ,0.086016
32768 ,0.070656
65536 ,0.090112
131072 ,0.06656
262144 ,0.246784
524288 ,0.254976
1048576 ,0.26112
2 ,0.07168
4 ,0.07168
8 ,0.067584
16 ,0.069632
32 ,0.069632
64 ,0.068608
128 ,0.069632
256 ,0.068608
512 ,0.067584
1024 ,0.06144
2048 ,0.069632
4096 ,0.075776
8192 ,0.070656
16384 ,0.06144
32768 ,0.065536
65536 ,0.090112
131072 ,0.07168
262144 ,0.283648
524288 ,0.246784
1048576 ,0.274432
2 ,0.070656
4 ,0.069632
8 ,0.075776
16 ,0.068608
32 ,0.07168
64 ,0.069632
128 ,0.067584
256 ,0.066528
512 ,0.06656
1024 ,0.069632
2048 ,0.096256
4096 ,0.06752
8192 ,0.07168
16384 ,0.064512
32768 ,0.06656
65536 ,0.070656
131072 ,0.07168
262144 ,0.257024
524288 ,0.24576
1048576 ,0.269312
2 ,0.063488
4 ,0.068608
8 ,0.063488
16 ,0.068608
32 ,0.069568
64 ,0.067584
128 ,0.067584
256 ,0.06864
512 ,0.06752
1024 ,0.068608
2048 ,0.067584
4096 ,0.070656
8192 ,0.07168
16384 ,0.06656
